Subject,Predicate,Object
Identity Thief,HAS_CAST,Melissa McCarthy
Identity Thief,HAS_CAST,Jon Favreau
Jaws 3-D,HAS_GENRE,Thriller
Jaws 3-D,HAS_GENRE,Horror
Jaws 3-D,HAS_CAST,Dennis Quaid
Jaws: The Revenge,HAS_GENRE,Adventure
Jaws: The Revenge,HAS_GENRE,Thriller
Jaws: The Revenge,HAS_GENRE,Horror
Jaws: The Revenge,HAS_CAST,Michael Caine
The Thin Red Line,HAS_GENRE,Drama
The Thin Red Line,HAS_GENRE,History
The Thin Red Line,HAS_GENRE,War
The Thin Red Line,HAS_CAST,Sean Penn
The Thin Red Line,HAS_CAST,Jim Caviezel
The Thin Red Line,HAS_CAST,Adrien Brody
Men of Honor,HAS_GENRE,Drama
Men of Honor,HAS_CAST,Robert De Niro
Men of Honor,HAS_CAST,Cuba Gooding Jr.
Men of Honor,HAS_CAST,Charlize Theron
Godzilla,HAS_GENRE,Action
Godzilla,HAS_GENRE,Drama
Godzilla,HAS_GENRE,Science Fiction
Godzilla,HAS_CAST,Elizabeth Olsen
Godzilla,HAS_CAST,Bryan Cranston
Godzilla vs. Megalon,HAS_GENRE,Science Fiction
Godzilla vs. Megalon,HAS_GENRE,Action
A Monster Calls,HAS_GENRE,Drama
A Monster Calls,HAS_GENRE,Fantasy
A Monster Calls,HAS_CAST,Sigourney Weaver
Godzilla vs. Hedorah,HAS_GENRE,Action
Godzilla vs. Hedorah,HAS_GENRE,Science Fiction
Godzilla,HAS_GENRE,Action
Godzilla,HAS_GENRE,Drama
Godzilla,HAS_GENRE,Science Fiction
Godzilla,HAS_CAST,Elizabeth Olsen
Godzilla,HAS_CAST,Bryan Cranston
Adventures in Babysitting,HAS_GENRE,Comedy
Adventures in Babysitting,HAS_CAST,Anthony Rapp
Adventures in Babysitting,HAS_DIRECTOR,Chris Columbus
Deception,HAS_GENRE,Thriller
Deception,HAS_GENRE,Mystery
Deception,HAS_CAST,Hugh Jackman
Deception,HAS_CAST,Michelle Williams
Gothika,HAS_GENRE,Horror
Gothika,HAS_GENRE,Thriller
Gothika,HAS_CAST,Halle Berry
Gothika,HAS_CAST,Robert Downey Jr.
The Ninth Configuration,HAS_GENRE,Drama
The Ninth Configuration,HAS_GENRE,Thriller
The Ninth Configuration,HAS_GENRE,Comedy
The Ninth Configuration,HAS_GENRE,Mystery
The Ninth Configuration,HAS_GENRE,Horror
Balto,HAS_GENRE,Family
Balto,HAS_GENRE,Animation
Balto,HAS_GENRE,Adventure
Balto,HAS_CAST,Kevin Bacon
Balto,HAS_CAST,Bob Hoskins
Babe,HAS_GENRE,Fantasy
Babe,HAS_GENRE,Drama
Babe,HAS_GENRE,Comedy
Babe,HAS_GENRE,Family
Babe,HAS_CAST,Hugo Weaving
Dunston Checks In,HAS_GENRE,Family
Dunston Checks In,HAS_GENRE,Comedy
Dunston Checks In,HAS_GENRE,Adventure
Dunston Checks In,HAS_CAST,Faye Dunaway
Legoman's Great Escape,HAS_GENRE,Misc
Wild,HAS_GENRE,Drama
Wild,HAS_CAST,Reese Witherspoon
Saving Mr. Banks,HAS_GENRE,Comedy
Saving Mr. Banks,HAS_GENRE,Drama
Saving Mr. Banks,HAS_GENRE,History
Saving Mr. Banks,HAS_CAST,Emma Thompson
Saving Mr. Banks,HAS_CAST,Tom Hanks
Saving Mr. Banks,HAS_CAST,Colin Farrell
Into the Wild,HAS_GENRE,Adventure
Into the Wild,HAS_GENRE,Drama
Into the Wild,HAS_CAST,Emile Hirsch
Into the Wild,HAS_CAST,Marcia Gay Harden
Into the Wild,HAS_CAST,Jena Malone
Into the Wild,HAS_DIRECTOR,Sean Penn
Manos: The Hands of Fate,HAS_GENRE,Horror
Rubber,HAS_GENRE,Comedy
Rubber,HAS_GENRE,Drama
Rubber,HAS_GENRE,Fantasy
Rubber,HAS_GENRE,Horror
Rubber,HAS_GENRE,Mystery
The Last Airbender,HAS_GENRE,Action
The Last Airbender,HAS_GENRE,Adventure
The Last Airbender,HAS_GENRE,Fantasy
The Last Airbender,HAS_DIRECTOR,M. Night Shyamalan
The Last Airbender,HAS_WRITER,M. Night Shyamalan
Empire,HAS_GENRE,Crime
Empire,HAS_GENRE,Action
Empire,HAS_GENRE,Drama
Pan,HAS_GENRE,Fantasy
Pan,HAS_GENRE,Adventure
Pan,HAS_GENRE,Family
Pan,HAS_GENRE,Action
Pan,HAS_CAST,Hugh Jackman
Pan,HAS_CAST,Amanda Seyfried
Pan,HAS_CAST,Rooney Mara
Pan,HAS_DIRECTOR,Joe Wright
Absolutely Anything,HAS_GENRE,Comedy
Absolutely Anything,HAS_GENRE,Science Fiction
Absolutely Anything,HAS_CAST,Simon Pegg
Absolutely Anything,HAS_CAST,Kate Beckinsale
Absolutely Anything,HAS_CAST,Rob Riggle
Old Yeller,HAS_GENRE,Adventure
Old Yeller,HAS_GENRE,Drama
Old Yeller,HAS_GENRE,Family
Old Yeller,HAS_GENRE,Western
Agent Cody Banks,HAS_GENRE,Action
Agent Cody Banks,HAS_GENRE,Adventure
Agent Cody Banks,HAS_GENRE,Comedy
Agent Cody Banks,HAS_GENRE,Family
Agent Cody Banks,HAS_CAST,Frankie Muniz
Agent Cody Banks,HAS_CAST,Hilary Duff
Agent Cody Banks,HAS_CAST,Keith David
Jaws,HAS_GENRE,Horror
Jaws,HAS_GENRE,Thriller
Jaws,HAS_GENRE,Adventure
Jaws,HAS_CAST,Richard Dreyfuss
Jaws,HAS_DIRECTOR,Steven Spielberg
Mr. & Mrs. Smith,HAS_GENRE,Action
Mr. & Mrs. Smith,HAS_GENRE,Comedy
Mr. & Mrs. Smith,HAS_GENRE,Drama
Mr. & Mrs. Smith,HAS_GENRE,Thriller
Mr. & Mrs. Smith,HAS_CAST,Brad Pitt
Mr. & Mrs. Smith,HAS_CAST,Angelina Jolie
Mr. & Mrs. Smith,HAS_CAST,Vince Vaughn
Love and Friendship,HAS_GENRE,Drama
Love and Friendship,HAS_GENRE,Romance
Love and Friendship,HAS_GENRE,Western
The Man Who Knew Too Little,HAS_GENRE,Comedy
The Man Who Knew Too Little,HAS_GENRE,Thriller
The Man Who Knew Too Little,HAS_GENRE,Crime
The Man Who Knew Too Little,HAS_GENRE,Action
The Man Who Knew Too Little,HAS_CAST,Bill Murray
Footloose,HAS_GENRE,Drama
Footloose,HAS_GENRE,Romance
Footloose,HAS_CAST,Kevin Bacon
Flashdance,HAS_GENRE,Drama
Flashdance,HAS_GENRE,Romance
Amistad,HAS_GENRE,Drama
Amistad,HAS_GENRE,History
Amistad,HAS_GENRE,Mystery
Amistad,HAS_CAST,Morgan Freeman
Amistad,HAS_CAST,Anthony Hopkins
Amistad,HAS_CAST,Matthew McConaughey
Amistad,HAS_DIRECTOR,Steven Spielberg
A Few Good Men,HAS_GENRE,Drama
A Few Good Men,HAS_CAST,Tom Cruise
A Few Good Men,HAS_CAST,Jack Nicholson
A Few Good Men,HAS_CAST,Demi Moore
A Few Good Men,HAS_CAST,Kevin Bacon
A Few Good Men,HAS_CAST,Kiefer Sutherland
Sleepers,HAS_GENRE,Crime
Sleepers,HAS_GENRE,Drama
Sleepers,HAS_GENRE,Thriller
Sleepers,HAS_CAST,Kevin Bacon
Sleepers,HAS_CAST,Robert De Niro
Sleepers,HAS_CAST,Dustin Hoffman
Sleepers,HAS_CAST,Brad Pitt
Better Off Dead,HAS_GENRE,Comedy
Better Off Dead,HAS_CAST,John Cusack
Next Friday,HAS_GENRE,Comedy
Next Friday,HAS_CAST,Ice Cube
Next Friday,HAS_WRITER,Ice Cube
Teenage Mutant Ninja Turtles,HAS_GENRE,Animation
Teenage Mutant Ninja Turtles,HAS_GENRE,Comedy
Teenage Mutant Ninja Turtles,HAS_GENRE,Action
Teenage Mutant Ninja Turtles,HAS_GENRE,Science Fiction
Rango,HAS_GENRE,Animation
Rango,HAS_GENRE,Comedy
Rango,HAS_GENRE,Family
Rango,HAS_GENRE,Western
Rango,HAS_GENRE,Adventure
Rango,HAS_CAST,Johnny Depp
Rango,HAS_CAST,Isla Fisher
Rango,HAS_CAST,Abigail Breslin
Kung Fu Panda 2,HAS_GENRE,Animation
Kung Fu Panda 2,HAS_GENRE,Family
Kung Fu Panda 2,HAS_GENRE,Comedy
Kung Fu Panda 2,HAS_CAST,Jack Black
Kung Fu Panda 2,HAS_CAST,Angelina Jolie
Kung Fu Panda 2,HAS_CAST,Dustin Hoffman
Kung Fu Panda 2,HAS_CAST,Gary Oldman
Kung Fu Panda 2,HAS_CAST,Jackie Chan
Teenage Mutant Ninja Turtles,HAS_GENRE,Animation
Teenage Mutant Ninja Turtles,HAS_GENRE,Comedy
Teenage Mutant Ninja Turtles,HAS_GENRE,Action
Teenage Mutant Ninja Turtles,HAS_GENRE,Science Fiction
XXX,HAS_GENRE,Action
XXX,HAS_GENRE,Adventure
XXX,HAS_GENRE,Thriller
XXX,HAS_CAST,Vin Diesel
Romance,HAS_GENRE,Drama
Romance,HAS_GENRE,Romance
Freddy Got Fingered,HAS_GENRE,Comedy
Freddy Got Fingered,HAS_CAST,Tom Green
Freddy Got Fingered,HAS_DIRECTOR,Tom Green
Hot Rod,HAS_GENRE,Comedy
Hot Rod,HAS_GENRE,Action
Hot Rod,HAS_GENRE,Drama
Hot Rod,HAS_CAST,Andy Samberg
Hot Rod,HAS_CAST,Bill Hader
Hot Rod,HAS_CAST,Isla Fisher
Almost Famous,HAS_GENRE,Drama
Almost Famous,HAS_GENRE,Music
Almost Famous,HAS_CAST,Kate Hudson
Almost Famous,HAS_DIRECTOR,Cameron Crowe
Save the Last Dance,HAS_GENRE,Drama
Save the Last Dance,HAS_GENRE,Family
Save the Last Dance,HAS_GENRE,Romance
Save the Last Dance,HAS_GENRE,Music
Cinderella,HAS_GENRE,Romance
Cinderella,HAS_GENRE,Fantasy
Cinderella,HAS_GENRE,Family
Cinderella,HAS_GENRE,Drama
Cinderella,HAS_CAST,Cate Blanchett
Cinderella,HAS_CAST,Richard Madden
Shutterdulai,HAS_GENRE,Misc
The Hobbit: An Unexpected Journey,HAS_GENRE,Adventure
The Hobbit: An Unexpected Journey,HAS_GENRE,Fantasy
The Hobbit: An Unexpected Journey,HAS_GENRE,Action
The Hobbit: An Unexpected Journey,HAS_CAST,Martin Freeman
The Hobbit: An Unexpected Journey,HAS_DIRECTOR,Peter Jackson
Kill Bill: Volume 1,HAS_GENRE,Action
Kill Bill: Volume 1,HAS_GENRE,Crime
Kill Bill: Volume 1,HAS_CAST,Uma Thurman
Kill Bill: Volume 1,HAS_CAST,David Carradine
Kill Bill: Volume 1,HAS_DIRECTOR,Quentin Tarantino
Kill Bill: Volume 1,HAS_WRITER,Quentin Tarantino
Strange Magic,HAS_GENRE,Music
Strange Magic,HAS_GENRE,Animation
Strange Magic,HAS_GENRE,Family
Strange Magic,HAS_GENRE,Fantasy
Epic,HAS_GENRE,Animation
Epic,HAS_GENRE,Adventure
Epic,HAS_GENRE,Family
Epic,HAS_GENRE,Fantasy
Epic,HAS_CAST,Colin Farrell
Epic,HAS_CAST,Amanda Seyfried
Waterworld,HAS_GENRE,Adventure
Waterworld,HAS_GENRE,Action
Waterworld,HAS_GENRE,Science Fiction
Waterworld,HAS_CAST,Kevin Costner
Waterworld,HAS_CAST,Dennis Hopper
Grown Ups,HAS_GENRE,Comedy
Grown Ups,HAS_CAST,Adam Sandler
Grown Ups,HAS_CAST,Kevin James
Grown Ups,HAS_CAST,Chris Rock
Grown Ups,HAS_CAST,David Spade
Grown Ups,HAS_CAST,Rob Schneider
Grown Ups,HAS_WRITER,Adam Sandler
Scream,HAS_GENRE,Horror
Scream,HAS_GENRE,Mystery
Scream,HAS_GENRE,Thriller
Evil Dead,HAS_GENRE,Horror
Scream 3,HAS_GENRE,Horror
Scream 3,HAS_GENRE,Mystery
Scream 3,HAS_CAST,Patrick Dempsey
Scream 3,HAS_DIRECTOR,Wes Craven
Scream 4,HAS_GENRE,Horror
Scream 4,HAS_GENRE,Mystery
Scream 4,HAS_CAST,Emma Roberts
Scream 4,HAS_DIRECTOR,Wes Craven
Scream,HAS_GENRE,Horror
Scream,HAS_GENRE,Mystery
Scream,HAS_GENRE,Thriller
I.T.,HAS_GENRE,Thriller
I.T.,HAS_CAST,Pierce Brosnan
I.T.,HAS_CAST,Michael Nyqvist
Scream 2,HAS_GENRE,Horror
Scream 2,HAS_GENRE,Mystery
Scream 2,HAS_DIRECTOR,Wes Craven
Amélie,HAS_GENRE,Comedy
Amélie,HAS_GENRE,Romance
Quints,HAS_GENRE,Drama
Quints,HAS_GENRE,Family
Quints,HAS_GENRE,Comedy
Quints,HAS_GENRE,TV Movie
Megamind,HAS_GENRE,Animation
Megamind,HAS_GENRE,Action
Megamind,HAS_GENRE,Comedy
Megamind,HAS_GENRE,Family
Megamind,HAS_GENRE,Science Fiction
Megamind,HAS_CAST,Will Ferrell
Megamind,HAS_CAST,Tina Fey
Megamind,HAS_CAST,Jonah Hill
Megamind,HAS_CAST,Brad Pitt
Blue Jay,HAS_GENRE,Drama
Blue Jay,HAS_GENRE,Romance
The In-Laws,HAS_GENRE,Action
The In-Laws,HAS_GENRE,Comedy
The In-Laws,HAS_CAST,Michael Douglas
The In-Laws,HAS_CAST,Albert Brooks
The In-Laws,HAS_CAST,Ryan Reynolds
Sleeping Beauty,HAS_GENRE,Fantasy
Sleeping Beauty,HAS_GENRE,Animation
Sleeping Beauty,HAS_GENRE,Romance
Sleeping Beauty,HAS_GENRE,Family
National Lampoon's Vacation,HAS_GENRE,Comedy
National Lampoon's Vacation,HAS_GENRE,Adventure
National Lampoon's Vacation,HAS_CAST,Chevy Chase
The Babysitter,HAS_GENRE,Comedy
The Babysitter,HAS_GENRE,Horror
The Babysitter,HAS_CAST,Bella Thorne
Bolt,HAS_GENRE,Animation
Bolt,HAS_GENRE,Family
Bolt,HAS_GENRE,Adventure
Bolt,HAS_GENRE,Comedy
Bolt,HAS_CAST,John Travolta
Bolt,HAS_CAST,Miley Cyrus
Flight of the Navigator,HAS_GENRE,Family
Flight of the Navigator,HAS_GENRE,Science Fiction
Flight of the Navigator,HAS_GENRE,Adventure
The Great Mouse Detective,HAS_GENRE,Animation
The Great Mouse Detective,HAS_GENRE,Family
The Great Mouse Detective,HAS_GENRE,Adventure
The Great Mouse Detective,HAS_GENRE,Mystery
The Great Mouse Detective,HAS_CAST,Vincent Price
L'Amour,HAS_GENRE,Drama
Cannibal! The Musical,HAS_GENRE,Comedy
Cannibal! The Musical,HAS_GENRE,Western
Cannibal! The Musical,HAS_GENRE,Thriller
Cannibal! The Musical,HAS_CAST,Trey Parker
Cannibal! The Musical,HAS_CAST,Matt Stone
Cannibal! The Musical,HAS_DIRECTOR,Trey Parker
Troy,HAS_GENRE,Adventure
Troy,HAS_GENRE,History
Troy,HAS_GENRE,War
Troy,HAS_GENRE,Action
Troy,HAS_CAST,Brad Pitt
Troy,HAS_CAST,Orlando Bloom
Troy,HAS_CAST,Eric Bana
Troy,HAS_CAST,Brian Cox
Troy,HAS_CAST,Sean Bean
The Last Samurai,HAS_GENRE,Drama
The Last Samurai,HAS_GENRE,Action
The Last Samurai,HAS_GENRE,War
The Last Samurai,HAS_CAST,Tom Cruise
Barbie Thumbelina,HAS_GENRE,Animation
Barbie Thumbelina,HAS_GENRE,Family
Return to Never Land,HAS_GENRE,Adventure
Return to Never Land,HAS_GENRE,Fantasy
Return to Never Land,HAS_GENRE,Animation
Return to Never Land,HAS_GENRE,Family
Enchanted,HAS_GENRE,Comedy
Enchanted,HAS_GENRE,Family
Enchanted,HAS_GENRE,Fantasy
Enchanted,HAS_GENRE,Romance
Enchanted,HAS_CAST,Amy Adams
Enchanted,HAS_CAST,Patrick Dempsey
Enchanted,HAS_CAST,Idina Menzel
Mickey,HAS_GENRE,Comedy
Mickey,HAS_GENRE,Drama
Fantasia,HAS_GENRE,Animation
Fantasia,HAS_GENRE,Family
Fantasia,HAS_CAST,Walt Disney
Dinosaur,HAS_GENRE,Family
Dinosaur,HAS_GENRE,Animation
The Borrower,HAS_GENRE,Science Fiction
The Borrower,HAS_GENRE,Comedy
The Borrower,HAS_GENRE,Horror
Mulan II,HAS_GENRE,Animation
Mulan II,HAS_GENRE,Comedy
Mulan II,HAS_GENRE,Family
Mulan II,HAS_GENRE,Action
Muppets Most Wanted,HAS_GENRE,Comedy
Muppets Most Wanted,HAS_GENRE,Adventure
Muppets Most Wanted,HAS_GENRE,Crime
Muppets Most Wanted,HAS_GENRE,Family
Muppets Most Wanted,HAS_CAST,Tina Fey
Half Baked,HAS_GENRE,Comedy
Half Baked,HAS_GENRE,Crime
Half Baked,HAS_CAST,Dave Chappelle
Half Baked,HAS_WRITER,Dave Chappelle
Invincible,HAS_GENRE,Drama
Invincible,HAS_GENRE,History
Invincible,HAS_CAST,Mark Wahlberg
Invincible,HAS_CAST,Greg Kinnear
The Adventures of Robin Hood,HAS_GENRE,Adventure
The Adventures of Robin Hood,HAS_GENRE,Romance
The Adventures of Robin Hood,HAS_GENRE,History
The Absent-Minded Professor,HAS_GENRE,Comedy
The Absent-Minded Professor,HAS_GENRE,Family
The Absent-Minded Professor,HAS_GENRE,Science Fiction
Fright Night,HAS_GENRE,Comedy
Fright Night,HAS_GENRE,Horror
Fright Night,HAS_CAST,Chris Sarandon
Captain Phillips,HAS_GENRE,Action
Captain Phillips,HAS_GENRE,Drama
Captain Phillips,HAS_GENRE,Thriller
Captain Phillips,HAS_CAST,Tom Hanks
Captain Phillips,HAS_CAST,Barkhad Abdi
Captain Phillips,HAS_CAST,Barkhad Abdirahman
Nacho Libre,HAS_GENRE,Comedy
Nacho Libre,HAS_GENRE,Family
Nacho Libre,HAS_CAST,Jack Black
The Brave Little Toaster,HAS_GENRE,Fantasy
The Brave Little Toaster,HAS_GENRE,Adventure
The Brave Little Toaster,HAS_GENRE,Animation
The Brave Little Toaster,HAS_GENRE,Family
The Brave Little Toaster,HAS_GENRE,Music
The Brave Little Toaster,HAS_CAST,Jon Lovitz
Peter Rabbit,HAS_GENRE,Animation
Peter Rabbit,HAS_GENRE,Adventure
Peter Rabbit,HAS_GENRE,Family
Peter Rabbit,HAS_CAST,Rose Byrne
Peter Rabbit,HAS_CAST,Margot Robbie
Peter Rabbit,HAS_CAST,Sam Neill
The Bad Batch,HAS_GENRE,Drama
The Bad Batch,HAS_GENRE,Horror
The Bad Batch,HAS_GENRE,Science Fiction
The Bad Batch,HAS_CAST,Keanu Reeves
River's Edge,HAS_GENRE,Thriller
River's Edge,HAS_GENRE,Drama
River's Edge,HAS_GENRE,Crime
River's Edge,HAS_CAST,Crispin Glover
River's Edge,HAS_CAST,Keanu Reeves
Street Kings,HAS_GENRE,Action
Street Kings,HAS_GENRE,Crime
Street Kings,HAS_GENRE,Drama
Street Kings,HAS_GENRE,Thriller
Street Kings,HAS_CAST,Keanu Reeves
Street Kings,HAS_CAST,Forest Whitaker
Street Kings,HAS_CAST,Chris Evans
The Whole Truth,HAS_GENRE,Drama
The Whole Truth,HAS_GENRE,Thriller
The Whole Truth,HAS_CAST,Keanu Reeves
Larry the Cable Guy: Health Inspector,HAS_GENRE,Comedy
Larry the Cable Guy: Health Inspector,HAS_CAST,Larry the Cable Guy
Interview with the Vampire,HAS_GENRE,Horror
Interview with the Vampire,HAS_GENRE,Drama
Interview with the Vampire,HAS_GENRE,Fantasy
Interview with the Vampire,HAS_CAST,Tom Cruise
Interview with the Vampire,HAS_CAST,Brad Pitt
Interview with the Vampire,HAS_CAST,Antonio Banderas
Interview with the Vampire,HAS_CAST,Christian Slater
Switch,HAS_GENRE,Fantasy
Switch,HAS_GENRE,Comedy
Grown Ups 2,HAS_GENRE,Comedy
Grown Ups 2,HAS_CAST,Adam Sandler
Grown Ups 2,HAS_CAST,Kevin James
Grown Ups 2,HAS_CAST,Chris Rock
Grown Ups 2,HAS_CAST,David Spade
Grown Ups 2,HAS_CAST,Salma Hayek Pinault
Grown Ups 2,HAS_WRITER,Adam Sandler
The Incredible Hulk,HAS_GENRE,Science Fiction
The Incredible Hulk,HAS_GENRE,Action
The Incredible Hulk,HAS_GENRE,Adventure
The Incredible Hulk,HAS_CAST,Edward Norton
The Incredible Hulk,HAS_CAST,Liv Tyler
What a Lie,HAS_GENRE,Music
Terminator Salvation,HAS_GENRE,Action
Terminator Salvation,HAS_GENRE,Science Fiction
Terminator Salvation,HAS_GENRE,Thriller
Terminator Salvation,HAS_CAST,Christian Bale
Terminator Salvation,HAS_CAST,Anton Yelchin
Paranormal Activity 4,HAS_GENRE,Horror
Waiting,HAS_GENRE,Comedy
Waiting,HAS_CAST,Ryan Reynolds
Waiting,HAS_CAST,Justin Long
Underworld: Awakening,HAS_GENRE,Fantasy
Underworld: Awakening,HAS_GENRE,Action
Underworld: Awakening,HAS_GENRE,Horror
Underworld: Awakening,HAS_CAST,Kate Beckinsale
Muppets from Space,HAS_GENRE,Family
Muppets from Space,HAS_GENRE,Science Fiction
Muppets from Space,HAS_GENRE,Fantasy
Muppets from Space,HAS_GENRE,Comedy
Wild Hearts Can't Be Broken,HAS_GENRE,Drama
Wild Hearts Can't Be Broken,HAS_GENRE,Family
Jackass 3D,HAS_GENRE,Comedy
Jackass 3D,HAS_GENRE,Documentary
Jackass 3D,HAS_GENRE,Action
Jackass 3D,HAS_CAST,Johnny Knoxville
Meet the Parents,HAS_GENRE,Comedy
Meet the Parents,HAS_GENRE,Romance
Meet the Parents,HAS_CAST,Ben Stiller
Meet the Parents,HAS_CAST,Robert De Niro
Dirty Rotten Scoundrels,HAS_GENRE,Crime
Dirty Rotten Scoundrels,HAS_GENRE,Comedy
Dirty Rotten Scoundrels,HAS_CAST,Steve Martin
Dirty Rotten Scoundrels,HAS_CAST,Michael Caine
Jackass Number Two,HAS_GENRE,Action
Jackass Number Two,HAS_GENRE,Comedy
Jackass Number Two,HAS_GENRE,Documentary
Jackass Number Two,HAS_CAST,Johnny Knoxville
Night of the Living Dead,HAS_GENRE,Horror
Dennis the Menace,HAS_GENRE,Family
Dennis the Menace,HAS_GENRE,Comedy
American Pie,HAS_GENRE,Comedy
American Pie,HAS_GENRE,Romance
Warm Bodies,HAS_GENRE,Horror
Warm Bodies,HAS_GENRE,Comedy
Warm Bodies,HAS_GENRE,Romance
Warm Bodies,HAS_CAST,Teresa Palmer
Pitch Perfect 2,HAS_GENRE,Comedy
Pitch Perfect 2,HAS_GENRE,Music
Pitch Perfect 2,HAS_CAST,Anna Kendrick
Pitch Perfect 2,HAS_CAST,Rebel Wilson
Martín,HAS_GENRE,Drama
Martín,HAS_GENRE,History
The People Under the Stairs,HAS_GENRE,Horror
The People Under the Stairs,HAS_GENRE,Comedy
The People Under the Stairs,HAS_DIRECTOR,Wes Craven
The People Under the Stairs,HAS_WRITER,Wes Craven
The Evil Dead,HAS_GENRE,Horror
X-Men: The Last Stand,HAS_GENRE,Adventure
X-Men: The Last Stand,HAS_GENRE,Action
X-Men: The Last Stand,HAS_GENRE,Science Fiction
X-Men: The Last Stand,HAS_GENRE,Thriller
X-Men: The Last Stand,HAS_CAST,Hugh Jackman
X-Men: The Last Stand,HAS_CAST,Patrick Stewart
X-Men: The Last Stand,HAS_CAST,Halle Berry
The Last Godfather,HAS_GENRE,Comedy
The Last Godfather,HAS_GENRE,Crime
The Last Godfather,HAS_GENRE,Romance
Lethal Weapon,HAS_GENRE,Adventure
Lethal Weapon,HAS_GENRE,Action
Lethal Weapon,HAS_GENRE,Comedy
Lethal Weapon,HAS_GENRE,Thriller
Lethal Weapon,HAS_GENRE,Crime
Lethal Weapon,HAS_CAST,Mel Gibson
Lethal Weapon,HAS_CAST,Danny Glover
Lethal Weapon,HAS_CAST,Gary Busey
Flicka,HAS_GENRE,Family
Flicka,HAS_GENRE,Drama
Cinderella,HAS_GENRE,Romance
Cinderella,HAS_GENRE,Fantasy
Cinderella,HAS_GENRE,Family
Cinderella,HAS_GENRE,Drama
Cinderella,HAS_CAST,Cate Blanchett
Cinderella,HAS_CAST,Richard Madden
The Star,HAS_GENRE,Comedy
The Star,HAS_GENRE,Adventure
The Star,HAS_GENRE,Family
The Star,HAS_GENRE,Fantasy
The Star,HAS_GENRE,Animation
One Flew Over the Cuckoo's Nest,HAS_GENRE,Drama
One Flew Over the Cuckoo's Nest,HAS_CAST,Jack Nicholson
One Flew Over the Cuckoo's Nest,HAS_CAST,Danny DeVito
Psych-Out,HAS_GENRE,Drama
Psych-Out,HAS_GENRE,Thriller
Psych-Out,HAS_GENRE,Music
Psych-Out,HAS_CAST,Jack Nicholson
Meet the Parents,HAS_GENRE,Comedy
Meet the Parents,HAS_GENRE,Romance
Meet the Parents,HAS_CAST,Ben Stiller
Meet the Parents,HAS_CAST,Robert De Niro
RoboCop,HAS_GENRE,Action
RoboCop,HAS_GENRE,Thriller
RoboCop,HAS_GENRE,Science Fiction
RoboCop,HAS_CAST,Nancy Allen
Jackass: The Movie,HAS_GENRE,Comedy
Jackass: The Movie,HAS_GENRE,Documentary
Jackass: The Movie,HAS_CAST,Johnny Knoxville
Brazil,HAS_GENRE,Comedy
Brazil,HAS_GENRE,Science Fiction
Brazil,HAS_CAST,Robert De Niro
Brazil,HAS_CAST,Bob Hoskins
Brazil,HAS_DIRECTOR,Terry Gilliam
The Last Picture Show,HAS_GENRE,Drama
The Last Picture Show,HAS_CAST,Jeff Bridges
Green Is Gold,HAS_GENRE,Drama
Green Is Gold,HAS_GENRE,Crime
My Dog Skip,HAS_GENRE,Comedy
My Dog Skip,HAS_GENRE,Drama
My Dog Skip,HAS_GENRE,Family
My Dog Skip,HAS_CAST,Frankie Muniz
My Dog Skip,HAS_CAST,Diane Lane
My Dog Skip,HAS_CAST,Kevin Bacon
My Dog Skip,HAS_CAST,Luke Wilson
The Pacifist,HAS_GENRE,Documentary
Carol,HAS_GENRE,Romance
Carol,HAS_GENRE,Drama
Carol,HAS_CAST,Rooney Mara
Carol,HAS_CAST,Cate Blanchett
Paris Is Burning,HAS_GENRE,War
Paris Is Burning,HAS_GENRE,Drama
Paris Is Burning,HAS_GENRE,History
The Kids Are All Right,HAS_GENRE,Comedy
The Kids Are All Right,HAS_GENRE,Drama
The Kids Are All Right,HAS_CAST,Julianne Moore
The Kids Are All Right,HAS_CAST,Mark Ruffalo
The Kids Are All Right,HAS_CAST,Mia Wasikowska
Trainspotting,HAS_GENRE,Drama
Trainspotting,HAS_GENRE,Crime
Trainspotting,HAS_DIRECTOR,Danny Boyle
T2,HAS_GENRE,Horror
T2,HAS_GENRE,Fantasy
The Post,HAS_GENRE,Drama
The Post,HAS_GENRE,History
The Post,HAS_CAST,Meryl Streep
The Post,HAS_CAST,Tom Hanks
The Post,HAS_DIRECTOR,Steven Spielberg
50,HAS_GENRE,Documentary
Jeremiah Johnson,HAS_GENRE,Adventure
Jeremiah Johnson,HAS_GENRE,Western
Jeremiah Johnson,HAS_CAST,Robert Redford
Lion,HAS_GENRE,Drama
Lion,HAS_CAST,Rooney Mara
Lion,HAS_CAST,Nicole Kidman
Journey 2: The Mysterious Island,HAS_GENRE,Adventure
Journey 2: The Mysterious Island,HAS_GENRE,Action
Journey 2: The Mysterious Island,HAS_GENRE,Science Fiction
Journey 2: The Mysterious Island,HAS_CAST,Dwayne Johnson
Journey 2: The Mysterious Island,HAS_CAST,Michael Caine
The Wild One,HAS_GENRE,Drama
The Wild One,HAS_CAST,Marlon Brando
Beyond the Law,HAS_GENRE,Action
Beyond the Law,HAS_CAST,Steven Seagal
Easy Rider,HAS_GENRE,Adventure
Easy Rider,HAS_GENRE,Drama
Easy Rider,HAS_CAST,Dennis Hopper
Easy Rider,HAS_CAST,Jack Nicholson
Easy Rider,HAS_DIRECTOR,Dennis Hopper
Miracle,HAS_GENRE,Drama
Miracle,HAS_GENRE,History
